ID, Óra, Perc, Nap, Járat
1,4,10,hétköznap,20
2,4,20,hétköznap,20
3,4,30,hétköznap,20
4,4,40,hétköznap,20
5,4,50,hétköznap,20
6,5,0,hétköznap,20
7,5,10,hétköznap,20
8,5,20,hétköznap,20
9,5,30,hétköznap,20
10,5,40,hétköznap,20
11,5,50,hétköznap,20
12,6,0,hétköznap,20
13,6,10,hétköznap,20
14,6,20,hétköznap,20
15,6,30,hétköznap,20
16,6,40,hétköznap,20
17,6,50,hétköznap,20
18,7,0,hétköznap,20
19,7,10,hétköznap,20
20,7,20,hétköznap,20
21,7,30,hétköznap,20
22,7,40,hétköznap,20
23,7,50,hétköznap,20
24,8,0,hétköznap,20
25,8,10,hétköznap,20
26,8,20,hétköznap,20
27,8,30,hétköznap,20
28,8,40,hétköznap,20
29,8,50,hétköznap,20
30,9,0,hétköznap,20
31,9,10,hétköznap,20
32,9,20,hétköznap,20
33,9,30,hétköznap,20
34,9,40,hétköznap,20
35,9,50,hétköznap,20
36,10,0,hétköznap,20
37,10,10,hétköznap,20
38,10,20,hétköznap,20
39,10,30,hétköznap,20
40,10,40,hétköznap,20
41,10,50,hétköznap,20
42,11,0,hétköznap,20
43,11,10,hétköznap,20
44,11,20,hétköznap,20
45,11,30,hétköznap,20
46,11,40,hétköznap,20
47,11,50,hétköznap,20
48,12,0,hétköznap,20
49,12,10,hétköznap,20
50,12,20,hétköznap,20
51,12,30,hétköznap,20
52,12,40,hétköznap,20
53,12,50,hétköznap,20
54,13,0,hétköznap,20
55,13,10,hétköznap,20
56,13,20,hétköznap,20
57,13,30,hétköznap,20
58,13,40,hétköznap,20
59,13,50,hétköznap,20
60,14,0,hétköznap,20
61,14,10,hétköznap,20
62,14,20,hétköznap,20
63,14,30,hétköznap,20
64,14,40,hétköznap,20
65,14,50,hétköznap,20
66,15,0,hétköznap,20
67,15,10,hétköznap,20
68,15,20,hétköznap,20
69,15,30,hétköznap,20
70,15,40,hétköznap,20
71,15,50,hétköznap,20
72,16,0,hétköznap,20
73,16,10,hétköznap,20
74,16,20,hétköznap,20
75,16,30,hétköznap,20
76,16,40,hétköznap,20
77,16,50,hétköznap,20
78,17,0,hétköznap,20
79,17,10,hétköznap,20
80,17,20,hétköznap,20
81,17,30,hétköznap,20
82,17,40,hétköznap,20
83,17,50,hétköznap,20
84,18,0,hétköznap,20
85,18,10,hétköznap,20
86,18,20,hétköznap,20
87,18,30,hétköznap,20
88,18,40,hétköznap,20
89,18,50,hétköznap,20
90,19,0,hétköznap,20
91,19,10,hétköznap,20
92,19,20,hétköznap,20
93,19,30,hétköznap,20
94,19,40,hétköznap,20
95,19,50,hétköznap,20
96,20,0,hétköznap,20
97,20,10,hétköznap,20
98,20,20,hétköznap,20
99,20,30,hétköznap,20
100,20,40,hétköznap,20
101,20,50,hétköznap,20
102,21,0,hétköznap,20
103,21,10,hétköznap,20
104,21,20,hétköznap,20
105,21,30,hétköznap,20
106,21,40,hétköznap,20
107,21,50,hétköznap,20
108,22,0,hétköznap,20
109,4,15,hétvége,20
110,4,30,hétvége,20
111,4,45,hétvége,20
112,5,0,hétvége,20
113,5,15,hétvége,20
114,5,30,hétvége,20
115,5,45,hétvége,20
116,6,0,hétvége,20
117,6,15,hétvége,20
118,6,30,hétvége,20
119,6,45,hétvége,20
120,7,0,hétvége,20
121,7,15,hétvége,20
122,7,30,hétvége,20
123,7,45,hétvége,20
124,8,0,hétvége,20
125,8,15,hétvége,20
126,8,30,hétvége,20
127,8,45,hétvége,20
128,9,0,hétvége,20
129,9,15,hétvége,20
130,9,30,hétvége,20
131,9,45,hétvége,20
132,10,0,hétvége,20
133,10,15,hétvége,20
134,10,30,hétvége,20
135,10,45,hétvége,20
136,11,0,hétvége,20
137,11,15,hétvége,20
138,11,30,hétvége,20
139,11,45,hétvége,20
140,12,0,hétvége,20
141,12,15,hétvége,20
142,12,30,hétvége,20
143,12,45,hétvége,20
144,13,0,hétvége,20
145,13,15,hétvége,20
146,13,30,hétvége,20
147,13,45,hétvége,20
148,14,0,hétvége,20
149,14,15,hétvége,20
150,14,30,hétvége,20
151,14,45,hétvége,20
152,15,0,hétvége,20
153,15,15,hétvége,20
154,15,30,hétvége,20
155,15,45,hétvége,20
156,16,0,hétvége,20
157,16,15,hétvége,20
158,16,30,hétvége,20
159,16,45,hétvége,20
160,17,0,hétvége,20
161,17,15,hétvége,20
162,17,30,hétvége,20
163,17,45,hétvége,20
164,18,0,hétvége,20
165,18,15,hétvége,20
166,18,30,hétvége,20
167,18,45,hétvége,20
168,19,0,hétvége,20
169,19,15,hétvége,20
170,19,30,hétvége,20
171,19,45,hétvége,20
172,20,0,hétvége,20
173,20,15,hétvége,20
174,20,30,hétvége,20
175,20,45,hétvége,20
176,21,0,hétvége,20
177,21,15,hétvége,20
178,21,30,hétvége,20
179,21,45,hétvége,20
180,22,0,hétvége,20
181,4,10,hétköznap,21
182,4,20,hétköznap,21
183,4,30,hétköznap,21
184,4,40,hétköznap,21
185,4,50,hétköznap,21
186,5,0,hétköznap,21
187,5,10,hétköznap,21
188,5,20,hétköznap,21
189,5,30,hétköznap,21
190,5,40,hétköznap,21
191,5,50,hétköznap,21
192,6,0,hétköznap,21
193,6,10,hétköznap,21
194,6,20,hétköznap,21
195,6,30,hétköznap,21
196,6,40,hétköznap,21
197,6,50,hétköznap,21
198,7,0,hétköznap,21
199,7,10,hétköznap,21
200,7,20,hétköznap,21
201,7,30,hétköznap,21
202,7,40,hétköznap,21
203,7,50,hétköznap,21
204,8,0,hétköznap,21
205,8,10,hétköznap,21
206,8,20,hétköznap,21
207,8,30,hétköznap,21
208,8,40,hétköznap,21
209,8,50,hétköznap,21
210,9,0,hétköznap,21
211,9,10,hétköznap,21
212,9,20,hétköznap,21
213,9,30,hétköznap,21
214,9,40,hétköznap,21
215,9,50,hétköznap,21
216,10,0,hétköznap,21
